run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target
dcg99e3g,oprmsprop_hw512_nl4_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,rmsprop,4,512,0.7210000157356262,0.9884999990463256,118,False,0.009097663685679436,False,True
8ggoxu0m,oprmsprop_hw512_nl4_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,rmsprop,4,512,0.7429999709129333,0.9950000047683716,126,False,0.007944393903017044,False,True
1geliq2q,opsgd_hw512_nl4_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,sgd,4,512,0.6899999976158142,1.0,1289,False,0.00993408914655447,False,True
t1tobws2,opsgd_hw512_nl4_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,sgd,4,512,0.6919999718666077,1.0,1271,False,0.0099886916577816,False,True
6byqlg44,opsgd_hw512_nl4_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,sgd,4,512,0.6899999976158142,1.0,1267,False,0.009929892607033253,False,True
uxst4udm,opadam_hw512_nl4_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,adam,4,512,0.7760000228881836,0.9977499842643738,120,False,0.009093640372157097,False,True
wd6wwfra,opadam_hw512_nl4_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,adam,4,512,0.7379999756813049,0.9975000023841858,98,False,0.009916340000927448,False,True
ihwwiqdd,opadam_hw512_nl4_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,adam,4,512,0.7570000290870667,0.9942499995231628,112,False,0.008250836282968521,False,True
c7vccq30,oprmsprop_hw512_nl3_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,rmsprop,3,512,0.7540000081062317,0.9980000257492064,150,False,0.009476508013904096,False,True
z0vzwngo,oprmsprop_hw512_nl3_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,rmsprop,3,512,0.7490000128746033,0.9952499866485596,101,False,0.008253914304077625,False,True
m9tme58i,oprmsprop_hw512_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,rmsprop,3,512,0.7490000128746033,0.9987499713897704,96,False,0.009047732688486576,False,True
lhgejwt0,opsgd_hw512_nl3_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,sgd,3,512,0.6859999895095825,1.0,1687,False,0.00990610383450985,False,True
4v8xmoym,opsgd_hw512_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,sgd,3,512,0.6869999766349792,1.0,1637,False,0.00996391475200653,False,True
id965wu6,opsgd_hw512_nl3_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,sgd,3,512,0.6899999976158142,1.0,1642,False,0.009979038499295712,False,True
pxx05b8a,opadam_hw512_nl3_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,adam,3,512,0.7310000061988831,0.996749997138977,104,False,0.007471916731446981,False,True
w6e80cdt,opadam_hw512_nl3_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,adam,3,512,0.7400000095367432,0.9992499947547911,73,False,0.004973986651748419,False,True
uzl1iapw,opadam_hw512_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,adam,3,512,0.7129999995231628,0.9984999895095824,63,False,0.007863299921154976,False,True
